,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN23469_c2_g2,39,53,42,56,34.99,43,28,18,31,54
TRINITY_DN18571_c0_g1,88,154,129,145,107,148,142,278,122,138
TRINITY_DN22836_c5_g19,55,53,49,67,31,69,98,102,88,14
TRINITY_DN20460_c0_g2,44,61,76,121,83,53,36,58,48,57
TRINITY_DN11878_c0_g1,41,40,47,56,36,56,86,425,79,38
TRINITY_DN15285_c0_g3,259.79,309,299.48,471,251,300.72,354,157.41,484,235
TRINITY_DN20813_c1_g2,103,99,64,119,59,107,50,32,85,104
TRINITY_DN21934_c2_g2,26,31,34,41,12,29,40,27,48,23
TRINITY_DN17715_c0_g1,1629.98,3454.31,1027,1286,471,2093,2810,1341.11,4238,814
TRINITY_DN9373_c0_g1,92,144,106,204,108,132,166,131,218,114
TRINITY_DN14699_c0_g1,31,44,26,33,17,47,48,30,29,22
TRINITY_DN20095_c4_g1,1137,1811,1056,1101,968,1244,1256,441,1703,959
TRINITY_DN17443_c0_g1,90,78,40.74,156,46,106,57,87,91,68
TRINITY_DN22357_c2_g1,73,90,128,107,72,81,124,55,72,112
TRINITY_DN10719_c0_g1,53,43,24,50,22,57,50,29,71,26
TRINITY_DN20691_c0_g3,13.14,28,24,29,21,30.8,35,51.83,38.89,16
TRINITY_DN12270_c0_g1,141,215,175,283,137,199,175,99,173,169
TRINITY_DN18734_c0_g1,20,15.89,24,21.78,15,28.52,27,14,11,22
TRINITY_DN11047_c0_g1,84,87,58,83,61,85,73,59,77,68
TRINITY_DN9916_c0_g2,155,126,119,169.32,131,186,214,82,163,134
TRINITY_DN20332_c0_g1,120,95,76,129,104,118,86,49,96,82
TRINITY_DN21553_c6_g3,28,29,20,20,14,35,18,15,32,51
TRINITY_DN11214_c0_g1,1016,1279,1064,1576,1052,1100,1497,6084,2162,840
TRINITY_DN21301_c1_g5,258,595.97,363,496.99,375,322,474.98,276,420,295
TRINITY_DN20950_c0_g4,59,57,28,45.54,48,61,48,65,49,44
TRINITY_DN18689_c0_g1,49,79,66,51,55,61,82,90,49,62
TRINITY_DN12935_c0_g1,146,143,73,84,49,156,95,10,117,61
TRINITY_DN21631_c0_g1,54,41,26,47,10,73,43,15,52,50
TRINITY_DN20016_c2_g1,68,48,27,43,15,80,40,70,49,53
TRINITY_DN21428_c0_g2,1918,1615,1757,3274,989,2378,1268,802,1450,2166
TRINITY_DN20968_c3_g1,37,41,30,46,16,38,28,29,37,36
TRINITY_DN19308_c0_g1,100,71,63,86,80,91,61,68,103,107
TRINITY_DN22802_c4_g4,651.34,644.05,517.97,709.85,481.45,708.64,412.07,121.06,555.89,380.5
TRINITY_DN1379_c0_g1,35,50,25,46,23,57.6,49.76,14,127.26,38
TRINITY_DN20817_c0_g2,51,30,36,31,19,45,44,53,35,21
TRINITY_DN15973_c0_g3,174,185,111,141,97,170,135,48.25,273,136
TRINITY_DN19711_c2_g3,193,339,180,267,151,215,213,45,375,165
TRINITY_DN18482_c0_g2,18,33,29,17,22,24,30,77,49,10
TRINITY_DN23075_c0_g6,67.41,75,95.84,113.25,84,88,76,133,53.01,90
TRINITY_DN21881_c4_g16,58,29,24,58,35,84,37,13,59,40
TRINITY_DN14446_c1_g2,95,137,67,98,63,131,51,49,124,85
TRINITY_DN15207_c0_g2,71,72,57,87,48,88,45,34,94,78
TRINITY_DN15785_c0_g3,260,268,182,346,236,322,317,99.22,292,240
TRINITY_DN20585_c0_g1,83,82,64,80,67,87,85,154,86,66
